lr_precision,lr_recall,tree_precision,tree_recall,rf_precision,rf_recall,svc_precision,svc_recall,gbc_precision,gbc_recall,knn_precision,knn_recall
0.35064935064935066,1.0,0.35064935064935066,1.0,0.35064935064935066,1.0,0.35064935064935066,1.0,0.35064935064935066,1.0,0.35064935064935066,1.0
0.35294117647058826,1.0,0.375886524822695,0.9814814814814815,0.35294117647058826,1.0,0.35294117647058826,1.0,0.35294117647058826,1.0,0.421875,1.0
0.35526315789473684,1.0,0.48148148148148145,0.9629629629629629,0.35526315789473684,1.0,0.35526315789473684,1.0,0.35526315789473684,1.0,0.49523809523809526,0.9629629629629629
0.3576158940397351,1.0,0.504950495049505,0.9444444444444444,0.3576158940397351,1.0,0.3576158940397351,1.0,0.3576158940397351,1.0,0.5268817204301075,0.9074074074074074
0.36,1.0,0.5679012345679012,0.8518518518518519,0.36,1.0,0.36,1.0,0.36,1.0,0.5542168674698795,0.8518518518518519
0.3624161073825503,1.0,0.6,0.5555555555555556,0.3624161073825503,1.0,0.3624161073825503,1.0,0.3624161073825503,1.0,0.6056338028169014,0.7962962962962963
0.36486486486486486,1.0,0.6086956521739131,0.25925925925925924,0.36486486486486486,1.0,0.36486486486486486,1.0,0.36486486486486486,1.0,0.6153846153846154,0.7407407407407407
0.3673469387755102,1.0,1.0,0.0,0.3673469387755102,1.0,0.3673469387755102,1.0,0.3673469387755102,1.0,0.6538461538461539,0.6296296296296297
0.3698630136986301,1.0,,,0.3698630136986301,1.0,0.3698630136986301,1.0,0.3698630136986301,1.0,0.6666666666666666,0.48148148148148145
0.3724137931034483,1.0,,,0.3724137931034483,1.0,0.3724137931034483,1.0,0.3724137931034483,1.0,0.6,0.2777777777777778
0.375,1.0,,,0.375,1.0,0.375,1.0,0.375,1.0,0.6842105263157895,0.24074074074074073
0.3776223776223776,1.0,,,0.3776223776223776,1.0,0.3776223776223776,1.0,0.3776223776223776,1.0,0.8333333333333334,0.18518518518518517
0.38028169014084506,1.0,,,0.38028169014084506,1.0,0.38028169014084506,1.0,0.38028169014084506,1.0,1.0,0.1111111111111111
0.3829787234042553,1.0,,,0.3829787234042553,1.0,0.375886524822695,0.9814814814814815,0.3829787234042553,1.0,1.0,0.037037037037037035
0.37857142857142856,0.9814814814814815,,,0.38571428571428573,1.0,0.37857142857142856,0.9814814814814815,0.38571428571428573,1.0,1.0,0.0
0.381294964028777,0.9814814814814815,,,0.38848920863309355,1.0,0.381294964028777,0.9814814814814815,0.38848920863309355,1.0,,
0.38405797101449274,0.9814814814814815,,,0.391304347826087,1.0,0.38405797101449274,0.9814814814814815,0.391304347826087,1.0,,
0.38686131386861317,0.9814814814814815,,,0.39416058394160586,1.0,0.38686131386861317,0.9814814814814815,0.39416058394160586,1.0,,
0.3897058823529412,0.9814814814814815,,,0.39705882352941174,1.0,0.3897058823529412,0.9814814814814815,0.39705882352941174,1.0,,
0.3925925925925926,0.9814814814814815,,,0.4,1.0,0.3925925925925926,0.9814814814814815,0.4,1.0,,
0.39552238805970147,0.9814814814814815,,,0.40298507462686567,1.0,0.39552238805970147,0.9814814814814815,0.40298507462686567,1.0,,
0.39849624060150374,0.9814814814814815,,,0.40601503759398494,1.0,0.39849624060150374,0.9814814814814815,0.40601503759398494,1.0,,
0.4015151515151515,0.9814814814814815,,,0.4090909090909091,1.0,0.4015151515151515,0.9814814814814815,0.4090909090909091,1.0,,
0.40458015267175573,0.9814814814814815,,,0.4122137404580153,1.0,0.40458015267175573,0.9814814814814815,0.4122137404580153,1.0,,
0.4076923076923077,0.9814814814814815,,,0.4153846153846154,1.0,0.4076923076923077,0.9814814814814815,0.4153846153846154,1.0,,
0.4108527131782946,0.9814814814814815,,,0.4186046511627907,1.0,0.4108527131782946,0.9814814814814815,0.4186046511627907,1.0,,
0.4140625,0.9814814814814815,,,0.421875,1.0,0.4140625,0.9814814814814815,0.421875,1.0,,
0.41732283464566927,0.9814814814814815,,,0.4251968503937008,1.0,0.41732283464566927,0.9814814814814815,0.4251968503937008,1.0,,
0.42063492063492064,0.9814814814814815,,,0.42857142857142855,1.0,0.42063492063492064,0.9814814814814815,0.42857142857142855,1.0,,
0.424,0.9814814814814815,,,0.432,1.0,0.424,0.9814814814814815,0.432,1.0,,
0.4274193548387097,0.9814814814814815,,,0.43548387096774194,1.0,0.4274193548387097,0.9814814814814815,0.43548387096774194,1.0,,
0.43089430894308944,0.9814814814814815,,,0.43902439024390244,1.0,0.43089430894308944,0.9814814814814815,0.43902439024390244,1.0,,
0.4344262295081967,0.9814814814814815,,,0.4426229508196721,1.0,0.4344262295081967,0.9814814814814815,0.4344262295081967,0.9814814814814815,,
0.4380165289256198,0.9814814814814815,,,0.4462809917355372,1.0,0.4380165289256198,0.9814814814814815,0.4380165289256198,0.9814814814814815,,
0.44166666666666665,0.9814814814814815,,,0.44166666666666665,0.9814814814814815,0.44166666666666665,0.9814814814814815,0.44166666666666665,0.9814814814814815,,
0.44537815126050423,0.9814814814814815,,,0.4369747899159664,0.9629629629629629,0.44537815126050423,0.9814814814814815,0.44537815126050423,0.9814814814814815,,
0.4491525423728814,0.9814814814814815,,,0.4406779661016949,0.9629629629629629,0.4491525423728814,0.9814814814814815,0.4491525423728814,0.9814814814814815,,
0.452991452991453,0.9814814814814815,,,0.4444444444444444,0.9629629629629629,0.452991452991453,0.9814814814814815,0.452991452991453,0.9814814814814815,,
0.45689655172413796,0.9814814814814815,,,0.4482758620689655,0.9629629629629629,0.45689655172413796,0.9814814814814815,0.45689655172413796,0.9814814814814815,,
